숙소명,시군구명,포함된_고유명사,포함된_고유명사(TF-IDF),장애인편의시설
경포비치호텔,강릉시,"['강릉역', '경포대', '오죽헌']","{'강릉역': 0.206, '오죽헌': 0.191, '경포대': 0.188}","장애인 지원 객실, 엘리베이터로 이동 가능,
계단 없는 주 출입구"
더 홍씨호텔 강릉,강릉시,"['강릉', '경포대', '오죽헌', '정동진']","{'강릉': 0.212, '오죽헌': 0.138, '경포대': 0.136, '정동진': 0.133}","장애인 지원 객실
점자 안내판
계단 없는 주 출입구, 엘리베이터 이동 가능"
씨마크호텔,강릉시,"['강릉역', '경포대', '오죽헌']","{'강릉역': 0.228, '오죽헌': 0.105, '경포대': 0.104}","장애인 편의시설
엘리베이터
엘리베이터로 이동 가능
장애인 주차
엘리베이터로 위층 이동 가능"
강릉관광호텔,강릉시,"['강릉', '선교장', '오죽헌']","{'강릉': 0.344, '선교장': 0.152, '오죽헌': 0.112}","복도에 시각 경보기
휠체어 이용 가능"
Hotel Tops10,강릉시,"['강릉', '강릉역', '국제공항', '금진항', '동해', '양양', '정동진']","{'금진항': 0.175, '강릉역': 0.131, '국제공항': 0.131, '정동진': 0.117, '양양': 0.099, '강릉': 0.093, '동해': 0.088}","엘리베이터, 계단 없는 주 출입구, 시설 전체 휠체어 이용 가능, 장애인 주차"
호텔이스트나인,강릉시,"['강릉역', '오죽헌', '주문진']","{'강릉역': 0.178, '오죽헌': 0.164, '주문진': 0.152}","시설 전체가 지상층에 위치
시설 전체 휠체어 이용 가능
장애인 편의시설
엘리베이터
엘리베이터로 이동 가능
금연
엘리베이터로 위층 이동 가능
전용 출입구"
주문진리조트,강릉시,"['강릉', '경포대', '오죽헌', '주문진']","{'오죽헌': 0.151, '경포대': 0.149, '주문진': 0.139, '강릉': 0.116}","시설 전체가 지상층에 위치
엘리베이터
엘리베이터로 이동 가능
금연
키 낮은 개수대
솜 베개
엘리베이터로 위층 이동 가능"
썬크루즈호텔&리조트,강릉시,"['동해', '오죽헌', '정동진', '정동진역']","{'정동진': 0.432, '정동진역': 0.203, '오죽헌': 0.149, '동해': 0.108}","금연, 계단 없는 주 출입구
장애인 편의시설
엘리베이터"
스카이 베이 경포,강릉시,"['강릉', '강릉역', '경포호', '동해']","{'경포호': 0.209, '강릉역': 0.166, '강릉': 0.118, '동해': 0.111}","장애인 지원 객실
점자 안내판
계단 없는 주 출입구
휠체어 이용 가능"
지브,강릉시,"['강릉', '국제공항', '양양', '주문진']","{'주문진': 0.337, '국제공항': 0.197, '양양': 0.149, '강릉': 0.14}",장애인 편의시설
G7 오션뷰 펜션,강릉시,"['강릉', '국제공항', '양양', '주문진']","{'주문진': 0.374, '국제공항': 0.219, '양양': 0.165, '강릉': 0.156}",장애인 편의시설
더 클래식 펜션,강릉시,"['강릉', '경포대', '동해', '오죽헌', '주문진']","{'주문진': 0.291, '강릉': 0.242, '오죽헌': 0.158, '경포대': 0.156, '동해': 0.114}",X
벨라,강릉시,['강릉'],{'강릉': 0.376},X
영진스테이2,강릉시,"['강릉', '경포해수욕장', '대관령', '동해', '선교장', '소금강', '오죽헌', '주문진', '중앙시장', '평창']","{'주문진': 0.295, '강릉': 0.246, '소금강': 0.116, '경포해수욕장': 0.109, '선교장': 0.109, '중앙시장': 0.086, '오죽헌': 0.08, '대관령': 0.069, '동해': 0.058, '평창': 0.054}",X
강릉씨티호텔,강릉시,"['강릉', '경포대']","{'강릉': 0.204, '경포대': 0.131}","장애인 지원 객실, 시설 전체가 지상층에 위치
점자 안내판"
웨이블루,강릉시,"['강릉', '대포항', '주문진', '평창']","{'주문진': 0.371, '강릉': 0.309, '대포항': 0.126, '평창': 0.09}",X
컨피네스 오션 스위트,강릉시,"['강릉', '경포대', '사천항', '정동진']","{'사천항': 0.169, '경포대': 0.122, '정동진': 0.119, '강릉': 0.095}","장애인 지원 객실,서비스 로봇
점자 안내판
계단 없는 주 출입구
휠체어 이용 가능"
SL호텔 강릉,강릉시,"['강릉', '동해', '오죽헌', '주문진']","{'주문진': 0.414, '강릉': 0.23, '오죽헌': 0.15, '동해': 0.108}","시설 전체가 지상층에 위치
장애인 편의시설
엘리베이터
장애인 주차
금연
반려동물 동반 불가
엘리베이터로 위층 이동 가능"
경포수 호텔,강릉시,"['강릉', '오죽헌', '주문진']","{'오죽헌': 0.152, '주문진': 0.14, '강릉': 0.117}","시설 전체가 지상층에 위치
금연 객실 이용 가능
시설 전체 휠체어 이용 가능
장애인 편의시설
엘리베이터
엘리베이터로 이동 가능
솜 베개
엘리베이터로 위층 이동 가능"
브라운도트호텔 경포,강릉시,"['강릉', '대관령', '주문진']","{'주문진': 0.173, '대관령': 0.161, '강릉': 0.144}",X
페리아902 오션뷰 키즈 가족 펜션,강릉시,"['강릉', '경포대', '사천항', '정동진']","{'사천항': 0.259, '경포대': 0.188, '정동진': 0.184, '강릉': 0.147}",X
