숙소명,포함된_고유명사(TF-IDF),장애인편의시설
마레몬스호텔,"{'속초': 0.207, '대포항': 0.144, '설악': 0.142, '설악산': 0.114}","장애인 지원 객실
점자 안내판
계단 난간
휠체어 이용 가능"
켄싱턴스타호텔,"{'설악': 0.215, '설악동': 0.157, '속초': 0.156, '설악산': 0.086}","장애인 지원 객실
계단 없는 주 출입구, 엘리베이터 위층 이동 가능"
체스터톤스 속초,{'속초': 0.33},"금연 객실 이용 가능
장애인 편의시설
엘리베이터
엘리베이터로 이동 가능
솜 베개
엘리베이터로 위층 이동 가능"
베니키아 산과 바다 대포항,"{'설악': 0.285, '속초': 0.207, '대포항': 0.144, '설악산': 0.114}",엘리베이터
롯데리조트 속초,"{'속초': 0.411, '중앙시장': 0.164, '동해': 0.11}","시설 전체가 지상층에 위치
금연 객실 이용 가능
장애인 편의시설
엘리베이터
솜 베개, 엘리베이터로 위층 이동 가능"
비즈니스 호텔 카멜,"{'속초': 0.397, '국제공항': 0.211, '양양': 0.159}","시설 전체 휠체어 이용 가능
장애인 편의시설
엘리베이터
엘리베이터로 이동 가능
항알러지
항알러지 베개
알러지프리 객실
금연
솜 베개
장애인 화장실
엘리베이터로 위층 이동 가능
계단 없는 주 출입구"
베니키아 산과 바다 속초,"{'속초': 0.313, '중앙시장': 0.166, '대포항': 0.145, '낙산사': 0.142}","장애인 편의시설
엘리베이터"
호텔굿모닝,"{'속초': 0.417, '대포항': 0.145}","엘리베이터
엘리베이터로 이동 가능
항알러지 베개
금연
솜 베개
엘리베이터로 위층 이동 가능
전용 출입구"
호텔더블루테라,"{'속초': 0.302, '낙산해수욕장': 0.164, '낙산사': 0.137}",엘리베이터
스테이호스텔,{'속초': 0.402},X
속초비치호스텔,{'속초': 0.224},X
속초 화이트하우스 수영장펜션,{'속초': 0.089},X
씨크루즈 호텔 속초,"{'속초': 0.191, '설악': 0.132, '설악산': 0.106}","장애인 지원 객실
점자 안내판
계단 없는 주 출입구
복도에 시각 경보기
휠체어 이용 가능"
더 호텔 속초 바이 베스트 웨스턴 시그니처 컬렉션,"{'속초': 0.333, '대포항': 0.155, '설악': 0.153}","알러지프리 객실
장애인 편의시설
엘리베이터"
마리나베이 속초,"{'속초': 0.221, '대포항': 0.154}","금연
시설 전체가 지상층에 위치
시설 전체 휠체어 이용 가능
엘리베이터
솜 베개
엘리베이터로 이동 가능
엘리베이터로 위층 이동 가능"
속초 소노레지던스,"{'속초': 0.44, '대포항': 0.153, '설악': 0.152}",X
팜파스 호텔&리조트 속초,"{'속초': 0.202, '설악': 0.139, '설악산': 0.112}","장애인 편의시설
엘리베이터"
더펠리스,"{'속초': 0.552, '설악산': 0.152}",X
르컬렉티브 속초중앙,"{'속초': 0.301, '설악산': 0.111}","장애인 지원 객실
점자 안내판
복도 난간
계단 난간
계단 없는 주 출입구
휠체어 이용 가능"
어반스테이 속초등대해변,{'속초': 0.197},X
설악파인리조트,"{'속초': 0.188, '양양국제공항': 0.16, '설악': 0.13, '설악산': 0.104}","장애인 편의시설
엘리베이터
솜 베개
지정 흡연 구역
방음시설"
신세계영랑호리조트,"{'속초': 0.3, '중앙시장': 0.24}",X
한화호텔앤드리조트(쏘라노),"{'설악': 0.384, '속초': 0.186, '설악산': 0.103}","장애인 편의시설
엘리베이터"
현대수콘도미니엄,"{'속초': 0.403, '설악': 0.139, '설악산': 0.111}","장애인 편의시설
엘리베이터
금연
솜 베개
전용 출입구"
도미니클라바 속초,{'속초': 0.244},엘리베이터
금호설악콘도,"{'속초': 0.277, '설악': 0.127, '설악산': 0.102}",엘리베이터
라마다 속초,"{'속초': 0.252, '대포항': 0.175, '동해': 0.134}","장애인 지원 객실
점자 안내판
휠체어 이용 가능, 솜 베개"
호텔 아마란스,"{'설악산': 0.247, '속초': 0.224, '속초시': 0.17, '강원도': 0.093}","출입구까지 경사로가 설치되어 있음, 엘리베이터 있음"
송월파크,"{'설악산': 0.179, '속초': 0.163, '강원도': 0.135, '대포항': 0.113, '낙산사': 0.111}",X
더케이설악산가족호텔,"{'설악산': 0.05, '속초': 0.046, '강원도': 0.038}","장애인 주차장 있음(4대), 출입구까지 경사로가 설치되어 있음, 휠체어 대여 가능(1대), 엘리베이터 있음, 장애인 화장실 있음(1층), 점자블록 있음(주출입구, 엘리베이터 앞)_시각장애인 편의시설, 보조견동반 가능, 안내요원 있음"
화이트스테이션 호스텔,{'속초': 0.223},X
바다향기펜션,{},X
해림모텔,"{'설악동': 0.334, '설악산': 0.275, '속초': 0.25, '대청봉': 0.159, '속초시': 0.126, '설악': 0.114}",X
호텔 느낌,"{'속초': 0.406, '속초시': 0.206, '설악산': 0.149}",X
위너스모텔,"{'속초': 0.397, '속초시': 0.201, '설악산': 0.146}",장애인 휠체어길 있음
광림모텔,"{'속초시': 0.22, '강원도': 0.12}",X
대궐파크,{'오색': 0.088},X
조양펜션,{'속초': 0.423},X
미라지모텔,{},X
헬리오스모텔,"{'속초시': 0.32, '장사항': 0.202, '동해안': 0.165, '설악산': 0.116, '속초': 0.105, '강원도': 0.087}","장애인 전용 주차구역 있음, 무장애 편의시설, 엘리베이터 있음, 장애인 화장실 있음, 장애인 객실 있음, 점자블록 있음_시각장애인 편의시설"
아이리스모텔,{},X
더 레드 하우스,"{'동해안': 0.223, '설악': 0.098, '설악산': 0.078}","출입구까지 경사로가 설치되어 있음, 반려견 동반 가능(사전문의)"
설악산파크리조트,"{'설악산': 0.35, '대포항': 0.147, '속초': 0.106}",출입구까지 경사로가 설치되어 있음
위드유[한국관광 품질인증/Korea Quality],"{'속초시': 0.178, '강원': 0.167, '속초': 0.117}",X
설악힐호텔,"{'속초': 0.277, '동해': 0.118}","출입구까지 턱이 없어 휠체어 접근 가능함, 엘리베이터 있음"
(주)척산온천휴양촌,"{'설악산': 0.191, '속초': 0.058}",X
리센 오션파크 속초,"{'조양동': 0.185, '속초시': 0.152, '강릉': 0.114, '속초': 0.1}",X
컨피네스 비치호텔,"{'조양동': 0.144, '속초시': 0.118, '속초': 0.078, '강원도': 0.065}",X
팜파스리조트,"{'조양동': 0.17, '속초시': 0.14, '강릉': 0.104, '설악산': 0.101, '동해': 0.098, '속초': 0.092}",X
두호텔 [한국관광 품질인증/Korea Quality],"{'대포항': 0.15, '설악산': 0.119, '속초': 0.108, '강원도': 0.089}","
점자블록 있음"
